Date,Canals to Kuraz Sugar Plantations
2030-06-12,64.07499999999999
2030-06-13,64.045
2030-06-14,64.03
2030-06-15,64.005
2030-06-16,63.980000000000004
2030-06-17,63.96
2030-06-18,63.93
2030-06-19,63.91
2030-06-20,63.89
2030-06-21,63.86
2030-06-22,63.84
2030-06-23,63.815
2030-06-24,63.8
2030-06-25,63.769999999999996
2030-06-26,63.745000000000005
2030-06-27,63.730000000000004
2030-06-28,63.705
2030-06-29,63.675
2030-06-30,63.655
2030-07-01,63.995000000000005
2030-07-02,63.865
2030-07-03,63.775
2030-07-04,63.675
2030-07-05,63.575
2030-07-06,63.485
2030-07-07,63.385
2030-07-08,63.290000000000006
2030-07-09,63.195
2030-07-10,63.095
2030-07-11,62.995000000000005
2030-07-12,62.905
2030-07-13,62.89
2030-07-14,62.89
2030-07-15,62.89
2030-07-16,62.89
2030-07-17,62.89
2030-07-18,62.89
2030-07-19,62.89
2030-07-20,62.89
2030-07-21,62.89
2030-07-22,62.89
2030-07-23,62.89
2030-07-24,62.89
2030-07-25,62.89
2030-07-26,62.89
2030-07-27,62.89
2030-07-28,62.89
2030-07-29,62.89
2030-07-30,62.89
2030-07-31,62.89
2030-08-01,62.86
2030-08-02,62.86
2030-08-03,62.86
2030-08-04,62.86
2030-08-05,62.86
2030-08-06,62.86
2030-08-07,62.86
2030-08-08,62.86
2030-08-09,62.86
2030-08-10,62.86
2030-08-11,62.86
2030-08-12,62.86
2030-08-13,62.86
2030-08-14,62.86
2030-08-15,62.86
2030-08-16,62.86
2030-08-17,62.86
2030-08-18,62.86
2030-08-19,62.86
2030-08-20,62.86
2030-08-21,62.86
2030-08-22,62.86
2030-08-23,62.86
2030-08-24,62.86
2030-08-25,62.86
2030-08-26,62.86
2030-08-27,62.86
2030-08-28,62.86
2030-08-29,62.86
2030-08-30,62.86
2030-08-31,62.86
2030-09-01,62.47
2030-09-02,62.47
2030-09-03,62.47
2030-09-04,62.47
2030-09-05,62.47
2030-09-06,62.47
2030-09-07,62.47
2030-09-08,62.47
2030-09-09,62.47
2030-09-10,62.47
2030-09-11,62.47
2030-09-12,62.47
2030-09-13,62.47
2030-09-14,62.47
2030-09-15,62.47
2030-09-16,62.47
2030-09-17,62.47
2030-09-18,62.47
2030-09-19,62.47
2030-09-20,62.47
2030-09-21,62.47
2030-09-22,62.47
2030-09-23,62.47
2030-09-24,62.47
2030-09-25,62.47
2030-09-26,62.47
2030-09-27,62.47
2030-09-28,62.47
2030-09-29,62.47
2030-09-30,62.47
2030-10-01,61.78
2030-10-02,61.78
2030-10-03,61.78
2030-10-04,61.78
2030-10-05,61.78
2030-10-06,61.78
2030-10-07,61.78
2030-10-08,61.78
2030-10-09,61.78
2030-10-10,61.78
2030-10-11,61.78
2030-10-12,61.78
2030-10-13,61.78
2030-10-14,61.78
2030-10-15,61.78
2030-10-16,61.78
2030-10-17,61.78
2030-10-18,61.78
2030-10-19,61.78
2030-10-20,61.78
2030-10-21,61.78
2030-10-22,61.78
2030-10-23,61.78
2030-10-24,61.78
2030-10-25,61.78
2030-10-26,61.78
2030-10-27,61.78
2030-10-28,61.78
2030-10-29,61.78
2030-10-30,61.78
2030-10-31,61.78
2030-11-01,60.885000000000005
2030-11-02,60.885000000000005
2030-11-03,60.89
2030-11-04,60.89
2030-11-05,60.885000000000005
2030-11-06,60.885000000000005
2030-11-07,60.885000000000005
2030-11-08,60.89
2030-11-09,60.89
2030-11-10,60.885000000000005
2030-11-11,60.885000000000005
2030-11-12,60.89
2030-11-13,60.885000000000005
2030-11-14,60.885000000000005
2030-11-15,60.89
2030-11-16,60.89
2030-11-17,60.885000000000005
2030-11-18,60.885000000000005
2030-11-19,60.885000000000005
2030-11-20,60.89
2030-11-21,60.89
2030-11-22,60.885000000000005
2030-11-23,60.885000000000005
2030-11-24,60.89
2030-11-25,60.89
2030-11-26,60.885000000000005
2030-11-27,60.885000000000005
2030-11-28,60.885000000000005
2030-11-29,60.89
2030-11-30,60.89
2030-12-01,59.870000000000005
2030-12-02,59.875
2030-12-03,59.879999999999995
2030-12-04,59.879999999999995
2030-12-05,59.89
2030-12-06,59.89
2030-12-07,59.89
2030-12-08,59.89
