Date,Canals to Kuraz Sugar Plantations,Outflow to Lake Turkana
2030-12-11,100.0,0.0
2030-12-12,100.0,0.0
2030-12-13,100.0,0.0
2030-12-14,100.0,0.0
2030-12-15,100.0,0.0
2030-12-16,100.0,0.0
2030-12-17,100.0,0.0
2030-12-18,100.0,0.0
2030-12-19,100.0,0.0
2030-12-20,100.0,0.0
2030-12-21,100.0,0.0
2030-12-22,100.0,0.0
2030-12-23,100.0,0.0
2030-12-24,100.0,0.0
2030-12-25,100.0,0.0
2030-12-26,100.0,0.0
2030-12-27,100.0,0.0
2030-12-28,100.0,0.0
2030-12-29,100.0,0.0
2030-12-30,100.0,0.0
2030-12-31,100.0,0.0
